A01AA01|natrijum fluorid|FLUOROGAL|Galenika a.d., Batajnički drum bb, Beograd, Srbija|Galenika d.o.o. Banja Luka|tableta|0.25 mg/1 tableta|250 tableta (1 polipropilenska fiola)|04-07.2-2823/11|01.04.2012|31.03.2017|22.10.2012|Rp - Lijek se izdaje uz ljekarski recept|NE|NE||||
A01AB03|hlorheksidin|HIBIDEKS DAP|Galenika a.d., Batajnički drum bb, Beograd, Srbija|Galenika d.o.o. Banja Luka|rastvor za ispiranje usta|1.2 mg/1 mL|boca sa 180 ml rastvora za ispiranje usta, u kutiji|04-07.9-3031/12|25.12.2013|24.12.2018|25.12.2013|BRp - Lijek se izdaje bez ljekarskog recepta|NE|NE||||
A01AB09|mikonazol|DAKTANOL|Galenika a.d., Batajnički drum bb, Beograd, Srbija|Galenika d.o.o. Banja Luka|oralni gel|20 mg/1 g|40 g oralnog gela|04-07.2-5574/11|01.04.2012|31.03.2017|29.03.2012|BRp - Lijek se izdaje bez ljekarskog recepta|DA|NE||||
A01AB12|heksetidin|STOMATIDIN|Bosnalijek d.d., Jukićeva 53, Sarajevo, Bosna i Hercegovin|Bosnalijek d.d., Jukićeva 53, Sarajevo|rastvor za ispiranje usta|1 mg/1 mL|200 ml rastvora za ispiranje usta (u staklenoj boci od 250 ml sa aluminijskim Pilfer-Proof zatvaračem PP28), u kutiji|U postupku obnove dozvole|U postupku obnove dozvole|U postupku obnove dozvole|U postupku obnove dozvole|BRp - Lijek se izdaje bez ljekarskog recepta|NE|NE||||
A01AB12|heksetidin|HEXORAL|Hemofarm A.D. (u saradnji sa Pfizer H.C.P.), Beogradski put bb., Vršac, Srbija|Hemofarm  proizvodnja farmaceutskih proizvoda d.o.o. Banja Luka|rastvor za usnu sluznicu|1 mg/1 mL|200 ml rastvora (1 PET  boca sa sigurnosnim zatvaračem za djecu) u kutiji|04-07.2-3698/11|03.12.2011|02.12.2016|08.02.2012|BRp - Lijek se izdaje bez ljekarskog recepta|DA|NE||||
A01AB17|metronidazol|ORVAGIL D|Galenika a.d., Batajnički drum bb, Beograd, Srbija|Galenika d.o.o. Banja Luka|film tableta|400 mg/1 tableta|20 film tableta (2 blistera po 10 tableta), u kutiji |04-07.10-5806/13|13.02.2014|12.02.2019|17.02.2014|Rp - Lijek se izdaje uz ljekarski recept|DA|NE||||
A01AD02|benzidamin|TANTUM VERDE|Aziende Chimiche Riunite Angelini Francesco (A.C.R.A.F.) S.P.A., Via Vecchia del Pinocchio 22, Ankona, Italij|Remedia d.o.o.|rastvor za ispiranje usta|1.5 mg/1 L|120 ml rastvora za ispiranje usta (1 staklena bočica) u kutiji|04-07.9-833/12|13.11.2012|12.11.2017|13.11.2012|BRp - Lijek se izdaje bez ljekarskog recepta|NE|NE||||
A01AD02|benzidamin|TANTUM VERDE|Aziende Chimiche Riunite Angelini Francesco (A.C.R.A.F.) S.P.A., Via Vecchia del Pinocchio 22, Ankona, Italij|Remedia d.o.o.|rastvor za ispiranje usta|0.15 g/100 mL|240 ml rastvora za ispiranje usta (u bočici) u kutiji|04-07.2-3075/12|14.09.2012|19.09.2017|13.11.2012|BRp - Lijek se izdaje bez ljekarskog recepta|DA|NE||||
A01AD02|benzidamin|TANTUM VERDE|Aziende Chimiche Riunite Angelini Francesco (A.C.R.A.F.) S.P.A., Via Vecchia del Pinocchio 22, Ankona, Italij|Remedia d.o.o.|sprej za usnu sluznicu |1.5 mg/1 L|30 ml spreja za usnu sluznicu u kutiji|04-07.2-3077/12|14.09.2012|13.09.2017|14.11.2012|BRp - Lijek se izdaje bez ljekarskog recepta|DA|NE||||
A01AD02|benzidamin|TANTUM VERDE|Aziende Chimiche Riunite Angelini Francesco (A.C.R.A.F.) S.P.A., Via Vecchia del Pinocchio 22, Ankona, Italij|Remedia d.o.o.|pastila|3 mg/1 Pastila, Lozenga|20 pastila (2 x10 pastila u zaštitnom (PE/papir/Al) omotu) u kutiji|04-07.2-3073/12|14.09.2012|13.09.2017|14.11.2012|BRp - Lijek se izdaje bez ljekarskog recepta|DA|NE||||
